date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.62,4.01,2.35,1.46,2.83,0.827,317
2019-12-10T00:00:00.000Z,0.35,3.6,2.02,0.95,2.52,0.856,413
2019-12-11T00:00:00.000Z,2.08,12.83,4.62,3.73,5.52,1.412,428
2019-12-12T00:00:00.000Z,0.84,14.36,8.96,3.3,10.84,4.014,490
2019-12-13T00:00:00.000Z,4.51,26.74,10.94,8.68,20.13,5.966,567
2019-12-14T00:00:00.000Z,0.95,37.32,13.28,5.61,15.85,6.452,404
2019-12-15T00:00:00.000Z,0.56,3.86,2.27,1.42,2.68,0.755,576
2019-12-16T00:00:00.000Z,2.22,6.67,3.15,2.81,3.75,0.966,280
2019-12-17T00:00:00.000Z,2.85,11.93,3.84,3.36,9.16,3.129,290
2019-12-18T00:00:00.000Z,0.5,13.8,2.85,1.7,3.54,2.234,472
2019-12-19T00:00:00.000Z,7.26,28.03,15.8,11.77,19.62,4.992,562
2019-12-20T00:00:00.000Z,18.14,37.03,26,23.17,30.28,4.563,585
2019-12-21T00:00:00.000Z,6.05,25.17,11.03,8.66,13.88,5.103,573
2019-12-22T00:00:00.000Z,5.8,24.9,8.44,7.25,10.36,2.819,584
2019-12-23T00:00:00.000Z,2.29,16.37,9.02,3.49,10.82,3.773,582
2019-12-24T00:00:00.000Z,1.65,10.37,5.52,3.08,6.79,2.175,589
2019-12-25T00:00:00.000Z,0.35,13.95,6.45,1.58,11.36,4.717,591
2019-12-26T00:00:00.000Z,0.5,8.55,1.83,1.46,2.27,0.805,587
2019-12-27T00:00:00.000Z,0.62,4.09,1.48,1.14,1.9,0.628,584
2019-12-28T00:00:00.000Z,0.8,14.93,3.1,2.4,3.7,1.186,585
2019-12-29T00:00:00.000Z,2.54,8.98,6.78,5.01,7.54,1.646,583
2019-12-30T00:00:00.000Z,2.6,10.84,6.77,4.63,8.84,2.122,582
2019-12-31T00:00:00.000Z,1.3,241.36,2.46,1.95,9.81,17.137,576
2020-01-01T00:00:00.000Z,1.05,108.66,3.38,1.88,8.13,17.453,586
2020-01-02T00:00:00.000Z,7,27.28,17.05,13.64,19.88,4.466,577
2020-01-03T00:00:00.000Z,1.88,16.2,7.04,3.75,13.39,4.773,561
2020-01-04T00:00:00.000Z,0.38,3.87,1.35,1.02,2.16,0.827,562
2020-01-05T00:00:00.000Z,0.94,14.93,2.29,1.95,8.61,4.149,559
2020-01-06T00:00:00.000Z,3.4,23.23,10.69,8.4,15.22,5.089,522
2020-01-07T00:00:00.000Z,2.08,25.88,12.38,5.72,15.34,6.065,513
2020-01-08T00:00:00.000Z,3.85,14.32,8.91,5.34,11.85,3.224,507
2020-01-09T00:00:00.000Z,1.14,16.94,5.09,4.22,11.51,4.559,535
2020-01-10T00:00:00.000Z,0.32,17.66,5.35,2.25,12.22,5.497,426
2020-01-11T00:00:00.000Z,0.28,10.92,2.4,0.95,8.23,3.568,527
2020-01-12T00:00:00.000Z,0.35,13.26,4.19,2.71,9.27,3.61,567
2020-01-13T00:00:00.000Z,2.66,14.95,5.28,3.55,9.26,3.484,486
2020-01-14T00:00:00.000Z,1.58,11.45,6.18,2.69,8.99,3.109,445
2020-01-15T00:00:00.000Z,0.5,4.5,2.35,1.92,2.62,0.851,462
2020-01-16T00:00:00.000Z,0.81,14.4,3.26,2.5,5.25,3.366,482
2020-01-17T00:00:00.000Z,2.8,21.86,14.13,9.91,15.99,3.989,464
2020-01-18T00:00:00.000Z,0.72,26.48,2.54,1.78,3.45,7.032,506
2020-01-19T00:00:00.000Z,1.78,4.95,3.15,2.75,3.65,0.606,467
2020-01-20T00:00:00.000Z,2.37,7.95,3.6,3.25,4.01,1.173,365
2020-01-21T00:00:00.000Z,0.72,4.38,2.76,1.85,3.15,0.845,457
2020-01-22T00:00:00.000Z,0.82,1.7,1.1,0.93,1.27,0.25,15
2020-01-23T00:00:00.000Z,2.72,8.36,6,4.46,6.9,1.537,87
2020-01-24T00:00:00.000Z,1.6,10.68,4.3,3.47,6.46,2.108,271
2020-01-25T00:00:00.000Z,0.88,13.44,2.24,1.65,9.39,4.305,296
2020-01-26T00:00:00.000Z,8.44,19.03,13.84,11.49,15.9,2.45,309
2020-01-27T00:00:00.000Z,13.3,22.12,17.94,16.85,18.77,1.737,257
2020-01-28T00:00:00.000Z,2.6,18.32,6.73,4.8,11.28,4.287,274
2020-01-29T00:00:00.000Z,0.9,9.77,1.98,1.56,2.73,1.512,314
2020-01-30T00:00:00.000Z,0.63,12.89,2.78,2.12,3.88,2.303,292
2020-01-31T00:00:00.000Z,1.25,10.19,3.74,2.75,4.71,1.88,289
2020-02-01T00:00:00.000Z,0.85,6.48,3.26,2.79,3.68,1.084,329
2020-02-02T00:00:00.000Z,0.7,2.75,1.76,1.56,1.98,0.345,326
2020-02-03T00:00:00.000Z,1.1,7.25,2.45,2.04,3.14,1.231,311
2020-02-04T00:00:00.000Z,0.2,3.66,2.2,0.77,2.77,1.057,257
2020-02-05T00:00:00.000Z,0.35,2.48,1.23,0.76,1.5,0.52,246
2020-02-06T00:00:00.000Z,1.13,7.52,1.93,1.65,2.34,1.008,237
2020-02-07T00:00:00.000Z,2.08,11.22,5.8,3.46,7.3,2.28,214
2020-02-08T00:00:00.000Z,4.7,15.18,12.05,7.03,12.62,3.028,203
2020-02-09T00:00:00.000Z,0.8,25.02,8.27,3.2,20.34,8.127,370
2020-02-10T00:00:00.000Z,0.74,3.91,1.98,1.3,2.69,0.789,385
2020-02-11T00:00:00.000Z,0.3,3.82,1.36,1.08,1.82,0.633,367
2020-02-12T00:00:00.000Z,0.7,3.5,1.7,1.21,2.44,0.665,381
2020-02-13T00:00:00.000Z,0.56,6.02,2.39,1.52,3.48,1.283,372
