# Sensor Landskrona Storgatan 24, Landskrona kommun, Sweden (Natur Vårdsverket - Swedish Environmental Protection Agency/se20484)
# https://aqicn.org/station/@501073/
# Daily no2
date,min,max,pm25,q1,q3,stdev,count
2024-08-21T00:00:00.000Z,0.57,3.33,1.42,0.93,2.02,0.827,7
2024-08-22T00:00:00.000Z,-0.49,4.16,1.77,1.3,2.71,1.026,23
2024-08-23T00:00:00.000Z,0.94,5.82,2.29,1.19,3.32,1.284,24
2024-08-24T00:00:00.000Z,0.98,10.71,2.27,1.72,5.58,2.551,23
2024-08-25T00:00:00.000Z,0.22,8.09,2.02,1.38,2.68,1.508,22
2024-08-26T00:00:00.000Z,0.86,10.56,2.85,2.17,4.96,2.588,24
2024-08-27T00:00:00.000Z,1.52,12.19,3.42,2.25,5.85,2.928,24
2024-08-28T00:00:00.000Z,1.35,19.39,2.1,1.74,4.5,3.979,24
2024-08-29T00:00:00.000Z,1.14,11.85,5.28,3.25,7.7,2.719,24
2024-08-30T00:00:00.000Z,0.57,6.27,1.73,0.87,3.19,1.548,23
2024-08-31T00:00:00.000Z,0.47,6.51,1.71,0.78,2.24,1.49,22
2024-09-01T00:00:00.000Z,0.89,5.13,2.49,1.26,3.23,1.179,23
2024-09-02T00:00:00.000Z,1.04,9.57,2,1.42,2.67,2.205,22
2024-09-03T00:00:00.000Z,1.1,5.08,1.71,1.52,2.8,0.973,24
2024-09-04T00:00:00.000Z,1.02,5.23,2.25,1.43,2.92,1.319,24
2024-09-05T00:00:00.000Z,0.8,2.9,1.75,0.99,2.09,0.66,24
2024-09-06T00:00:00.000Z,0.56,3.49,1.14,1.01,1.51,0.57,23
2024-09-07T00:00:00.000Z,0.85,2.64,1.53,1.09,2.25,0.572,20
2024-09-08T00:00:00.000Z,0.76,3.33,1.97,1.31,2.49,0.671,21
2024-09-09T00:00:00.000Z,0.93,8.03,3.57,1.64,5.28,2.075,23
2024-09-10T00:00:00.000Z,0.57,2.76,1.89,1.32,2.23,0.59,22
2024-09-11T00:00:00.000Z,0.67,7.3,1.85,1.29,2.6,1.313,24
2024-09-12T00:00:00.000Z,1,4.86,1.82,1.62,2.16,0.807,24
2024-09-13T00:00:00.000Z,0.62,3.64,1.03,0.82,1.63,0.851,24
2024-09-14T00:00:00.000Z,0.67,1.64,0.96,0.79,1.12,0.259,24
2024-09-15T00:00:00.000Z,0.59,5.43,0.94,0.75,1.79,1.063,24
2024-09-16T00:00:00.000Z,0.81,7.6,1.95,1.6,2.68,1.594,24
2024-09-17T00:00:00.000Z,0.75,6.37,2.58,1.61,4.2,1.58,24
2024-09-18T00:00:00.000Z,1.75,11.89,3.64,2.48,6.22,2.973,24
2024-09-19T00:00:00.000Z,1.2,7.21,1.88,1.42,2.6,1.537,24
2024-09-20T00:00:00.000Z,0.86,4.59,2.38,1.59,3.04,0.98,24
2024-09-21T00:00:00.000Z,1.08,10.02,2.5,1.83,4.37,2.065,24
2024-09-22T00:00:00.000Z,1.02,3.07,1.99,1.32,2.65,0.669,24
2024-09-23T00:00:00.000Z,1.13,8.09,3.37,2.46,5.08,1.908,22
2024-09-24T00:00:00.000Z,1.06,16.63,3.99,2.22,8.64,4.22,24
2024-09-25T00:00:00.000Z,1.21,3.86,2.09,1.77,2.62,0.637,24
2024-09-26T00:00:00.000Z,1.45,5.92,2.88,1.76,3.87,1.238,21
2024-09-27T00:00:00.000Z,1.13,3.62,2.27,1.81,2.65,0.623,24
2024-09-28T00:00:00.000Z,-0.48,3.63,1.54,1.11,2.27,0.998,15
2024-09-29T00:00:00.000Z,0.83,14.66,1.97,1.26,3.05,2.93,20
2024-09-30T00:00:00.000Z,1.19,7.21,2.37,1.9,3.35,1.582,24
2024-10-01T00:00:00.000Z,0.6,5.53,2.21,1.32,2.66,1.326,24
2024-10-02T00:00:00.000Z,0.63,2.66,0.86,0.7,2,0.799,8
2024-10-04T00:00:00.000Z,1.98,15.35,4.7,3.56,10.56,4.328,14
2024-10-05T00:00:00.000Z,3.55,34.29,7.82,5.08,11.01,6.936,22
2024-10-06T00:00:00.000Z,1.95,6.42,3.51,3.03,4.4,1.167,24
2024-10-07T00:00:00.000Z,2.29,9.43,3.52,3.03,5.5,1.997,24
2024-10-08T00:00:00.000Z,4.79,9.23,6.22,5.48,6.81,1.118,22
2024-10-09T00:00:00.000Z,3.22,73.83,6.76,4.98,10.56,15.943,19
2024-10-10T00:00:00.000Z,2.79,11.15,3.93,3.25,9.6,3.142,9
2024-10-11T00:00:00.000Z,1.36,4.42,2.58,1.86,2.77,0.771,18
2024-10-12T00:00:00.000Z,1.51,9.33,2.56,2.06,3.28,1.692,24
2024-10-13T00:00:00.000Z,1.69,3.51,2.39,2.14,2.83,0.479,24
2024-10-14T00:00:00.000Z,1.26,4.2,2.06,1.76,3.17,0.914,24
2024-10-15T00:00:00.000Z,1.08,10.22,3.06,1.7,5.85,2.37,24
2024-10-16T00:00:00.000Z,2.12,7.3,2.87,2.42,3.45,1.373,24
2024-10-17T00:00:00.000Z,2.5,4.94,3.14,2.73,3.71,0.695,24
2024-10-18T00:00:00.000Z,3.54,9.67,5.4,4.12,6.91,1.892,24
2024-10-19T00:00:00.000Z,3.29,6.22,4.37,3.74,4.68,0.721,24
2024-10-20T00:00:00.000Z,2.8,9.08,5.5,3.9,6.84,1.674,24
2024-10-21T00:00:00.000Z,2.85,6.51,4.43,3.71,5.16,0.92,24
2024-10-22T00:00:00.000Z,1.49,7.6,3.15,2.6,4.3,1.526,24
2024-10-23T00:00:00.000Z,1.21,5.92,3.22,2.16,4.05,1.299,24
2024-10-24T00:00:00.000Z,1.83,15.69,6.07,2.87,9.92,3.882,24
2024-10-25T00:00:00.000Z,1.92,9.13,5.28,3.91,6.69,1.977,24
2024-10-26T00:00:00.000Z,1.46,32.47,4.76,3.08,8.88,7.195,23
2024-10-27T00:00:00.000Z,0.75,5.97,2.56,1.8,3.61,1.261,24
2024-10-28T00:00:00.000Z,1.01,8.59,3.82,1.84,5.01,1.964,24
2024-10-29T00:00:00.000Z,1.52,13.38,3.65,2.54,6.61,2.949,24
2024-10-30T00:00:00.000Z,0.77,3.93,1.39,0.92,1.78,0.746,22
2024-10-31T00:00:00.000Z,0.63,5.77,1.58,1.26,1.93,0.958,24
2024-11-01T00:00:00.000Z,0.71,3.82,1.26,0.99,1.45,0.745,21
2024-11-02T00:00:00.000Z,0.69,4.83,1.46,1.05,2.06,0.944,22
2024-11-03T00:00:00.000Z,0.72,11.1,1.6,1.21,2.47,2.081,23
2024-11-04T00:00:00.000Z,1.05,7.8,3.45,1.75,4.43,1.675,22
2024-11-05T00:00:00.000Z,0.88,7.8,3.88,2.31,5.13,1.848,22
2024-11-06T00:00:00.000Z,1.04,9.48,2.24,1.75,4.38,2.494,24
2024-11-07T00:00:00.000Z,0.82,6.66,3.75,1.92,4.84,1.613,23
2024-11-08T00:00:00.000Z,0.82,6.51,2.17,1.31,3.48,1.715,24
2024-11-09T00:00:00.000Z,0.97,3.75,1.91,1.34,2.36,0.7,24
2024-11-10T00:00:00.000Z,1.37,7.35,2.48,1.8,5.92,2.061,24
2024-11-11T00:00:00.000Z,4.86,10.22,7.48,6,9.55,1.809,24
2024-11-12T00:00:00.000Z,1.39,5.38,2.43,2.04,3.28,1.049,24
2024-11-13T00:00:00.000Z,1.25,16.63,4.25,2.08,9.86,4.471,24
2024-11-14T00:00:00.000Z,1.17,6.22,3.02,1.91,4.58,1.377,23
2024-11-15T00:00:00.000Z,1.04,5.63,2.14,1.39,2.85,1.07,24
2024-11-16T00:00:00.000Z,0.92,4.54,1.82,1.58,2.06,0.729,23
2024-11-17T00:00:00.000Z,0.85,3.41,1.42,1.24,2,0.611,24
2024-11-18T00:00:00.000Z,0.83,2.7,1.74,1.25,2.11,0.499,21
2024-11-19T00:00:00.000Z,0.98,15.45,2.79,1.3,10.07,4.867,23
2024-11-20T00:00:00.000Z,0.8,6.96,2.35,1.19,3.69,1.647,24
2024-11-21T00:00:00.000Z,1.04,8.24,2.04,1.25,3,2.174,24
2024-11-22T00:00:00.000Z,1.28,16.98,4.34,3.02,8.51,4.073,24
2024-11-23T00:00:00.000Z,1.07,5.58,2.02,1.52,2.98,1.218,24
2024-11-24T00:00:00.000Z,1.23,6.56,2.24,1.8,3.47,1.293,24
2024-11-25T00:00:00.000Z,1.91,8,4.58,3.33,5.38,1.545,24
2024-11-26T00:00:00.000Z,2.16,6.17,4.09,3.08,5.11,1.206,24
2024-11-27T00:00:00.000Z,1.78,10.41,3.36,2.79,7.8,2.6,23
2024-11-28T00:00:00.000Z,0.7,1.97,1.03,0.93,1.34,0.376,22
2024-11-29T00:00:00.000Z,0.88,29.71,2.97,1.76,7.67,8.277,21
2024-11-30T00:00:00.000Z,1.86,6.02,3.62,2.6,4.59,1.229,24
2024-12-01T00:00:00.000Z,4.65,9.43,5.92,5.43,6.61,1.169,11
2024-12-02T00:00:00.000Z,6.22,12.34,8.59,7.95,10.24,1.684,16
2024-12-03T00:00:00.000Z,0.78,9.33,4.45,1.34,6.76,2.786,24
2024-12-04T00:00:00.000Z,0.96,3.58,2.23,1.73,2.73,0.74,18
2024-12-05T00:00:00.000Z,1.1,9.82,3.75,2.33,7.03,2.617,24
2024-12-06T00:00:00.000Z,1.86,7.85,4.29,3.06,5.23,1.548,23
2024-12-07T00:00:00.000Z,1.88,3.93,2.59,2.24,3.17,0.576,24
2024-12-08T00:00:00.000Z,0.66,3.75,2.04,1.21,2.74,0.951,24
2024-12-09T00:00:00.000Z,0.71,2.12,1.32,1.03,1.4,0.34,18
2024-12-10T00:00:00.000Z,0.68,6.51,2.8,1.9,4.2,1.746,19
2024-12-11T00:00:00.000Z,0.88,5.68,3.25,1.59,4.49,1.471,24
2024-12-12T00:00:00.000Z,1.34,26.21,9.61,3.24,12.26,6.176,24
2024-12-13T00:00:00.000Z,1.1,15.99,3.66,2.34,5.53,4.327,23
2024-12-14T00:00:00.000Z,1.24,6.71,2.48,1.95,3.65,1.437,25
2024-12-15T00:00:00.000Z,0.77,4.15,2.08,1.32,2.38,0.903,23
2024-12-16T00:00:00.000Z,0.71,3.76,1.99,1.57,2.48,0.795,23
2024-12-17T00:00:00.000Z,1.24,8.19,2.18,1.87,2.94,1.696,22
2024-12-18T00:00:00.000Z,0.96,8.78,4.32,2.35,5.97,2.001,24
2024-12-19T00:00:00.000Z,1.12,9.97,2.46,1.83,5.97,2.744,23
2024-12-20T00:00:00.000Z,0.72,2.49,1.42,1.08,2.06,0.561,23
2024-12-21T00:00:00.000Z,1.03,3.98,2.41,1.87,2.81,0.781,24
2024-12-22T00:00:00.000Z,1.17,5.18,2.17,1.74,2.67,0.905,24
2024-12-23T00:00:00.000Z,1.09,6.32,2.39,1.62,4.43,1.511,24
2024-12-24T00:00:00.000Z,1.06,6.27,2.74,2.11,4.71,1.403,24
2024-12-25T00:00:00.000Z,2.47,15.65,6.07,3.84,7.97,3.029,24
2024-12-26T00:00:00.000Z,1.1,5.82,2.76,2.13,4,1.274,24
2024-12-27T00:00:00.000Z,1.17,8.74,2.73,1.74,3.86,1.859,24
2024-12-28T00:00:00.000Z,0.8,8.14,2.52,1.62,5.14,2.248,24
