date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.64,5.16,2.23,1.22,3.01,1.173,316
2019-12-10T00:00:00.000Z,0.35,4.07,1.28,0.62,2.76,1.14,409
2019-12-11T00:00:00.000Z,2.84,20.63,11.29,4.65,17.16,6.088,423
2019-12-12T00:00:00.000Z,3.48,21.42,12.73,6.45,15.42,5.282,494
2019-12-13T00:00:00.000Z,3.52,30.18,11.73,10.19,22.44,7.258,562
2019-12-14T00:00:00.000Z,0.45,31.77,15.05,4.46,23.98,9.818,394
2019-12-15T00:00:00.000Z,0.92,4.78,2,1.59,3.04,0.888,584
2019-12-16T00:00:00.000Z,1.88,7.52,3.66,3.11,4.45,1.269,289
2019-12-17T00:00:00.000Z,2.96,28.96,8.14,4.05,18.04,6.858,290
2019-12-18T00:00:00.000Z,0.72,8.44,2.25,1.51,2.88,1.588,461
2019-12-19T00:00:00.000Z,6.97,40.76,16.57,11.8,23.13,8.538,557
2019-12-20T00:00:00.000Z,26.6,51.34,37.1,31.08,45.21,7.197,593
2019-12-21T00:00:00.000Z,6.8,42.07,21.45,14.52,26.7,9.154,578
2019-12-22T00:00:00.000Z,6.42,24.27,12.76,10.99,16.18,3.679,593
2019-12-23T00:00:00.000Z,1.96,26.22,13.02,9.52,15.78,5.146,582
2019-12-24T00:00:00.000Z,1.5,12.1,4.46,3.27,7.06,2.914,592
2019-12-25T00:00:00.000Z,0.1,48.32,2.57,0.77,16.96,8.128,587
2019-12-26T00:00:00.000Z,0.15,21.77,1.3,0.91,2.13,1.684,591
2019-12-27T00:00:00.000Z,0.26,2.4,0.91,0.64,1.4,0.528,588
2019-12-28T00:00:00.000Z,1.04,39.33,3.85,1.98,5.18,3.368,590
2019-12-29T00:00:00.000Z,4.67,19.16,11.76,6.62,15.88,4.547,588
2019-12-30T00:00:00.000Z,2.54,12.1,8.69,6.36,10.43,2.376,581
2019-12-31T00:00:00.000Z,1.82,86.16,3.68,2.58,4.93,7.574,581
2020-01-01T00:00:00.000Z,1.18,62.75,3.32,2.19,8.33,6.079,588
2020-01-02T00:00:00.000Z,8.41,40.99,26.51,18.55,34.07,9.203,572
2020-01-03T00:00:00.000Z,2.25,25.68,5.68,4.73,14.18,6.349,551
2020-01-04T00:00:00.000Z,0.75,5.26,1.71,1.28,2.76,1.139,557
2020-01-05T00:00:00.000Z,1.1,12.92,2.88,2.25,5.65,2.898,566
2020-01-06T00:00:00.000Z,2.44,29.54,10.08,4.09,14,8.519,430
2020-01-07T00:00:00.000Z,2.78,35.47,21.02,7.42,24.5,9.254,518
2020-01-08T00:00:00.000Z,4.24,19.52,6.38,5.85,13.02,4.671,516
2020-01-09T00:00:00.000Z,1.9,17.11,6.13,5.2,11.58,4.006,526
2020-01-10T00:00:00.000Z,0.13,18,4.95,0.5,7.72,4.105,438
2020-01-11T00:00:00.000Z,0.3,10.47,3.12,1.55,8.58,3.431,530
2020-01-12T00:00:00.000Z,1.33,16.14,3.1,2.29,6.91,3.538,572
2020-01-13T00:00:00.000Z,2.22,24.18,3.45,2.9,11.05,6.457,488
2020-01-14T00:00:00.000Z,1.36,15.05,6.35,3.55,10.33,3.546,441
2020-01-15T00:00:00.000Z,0.55,6.6,2.09,1.5,3.29,1.332,459
2020-01-16T00:00:00.000Z,1.33,20.07,3.65,3.2,5.18,4.73,474
2020-01-17T00:00:00.000Z,3.93,30.4,14.75,9.75,20.26,5.778,468
2020-01-18T00:00:00.000Z,0.6,37.15,1.9,1.12,5.55,10.261,501
2020-01-19T00:00:00.000Z,1.72,23.46,3.48,2.41,4.62,1.852,472
