date,min,max,pm25,q1,q3,stdev,count
2019-12-13T00:00:00.000Z,2.22,15.18,8.59,4.94,11.86,3.655,494
2019-12-14T00:00:00.000Z,0.53,15.25,7.69,3.26,9.82,3.817,401
2019-12-15T00:00:00.000Z,0.45,3.32,1.61,1.04,2.04,0.61,575
2019-12-16T00:00:00.000Z,1.13,3.78,2.22,1.92,2.5,0.462,295
2019-12-17T00:00:00.000Z,1.24,8.72,2.11,1.68,6.19,2.479,291
2019-12-18T00:00:00.000Z,0.35,6,1.69,1.09,2.06,0.99,474
2019-12-19T00:00:00.000Z,2.84,15.74,7.4,5.13,10.53,3.074,557
2019-12-20T00:00:00.000Z,11.48,24.39,15.81,13.82,17.93,2.52,588
2019-12-21T00:00:00.000Z,3.58,16.13,8.07,6.7,11.15,2.947,573
2019-12-22T00:00:00.000Z,2.35,10.33,4.72,3.94,5.57,1.483,584
2019-12-23T00:00:00.000Z,0.66,10.26,5.45,3.36,7.05,2.354,586
2019-12-24T00:00:00.000Z,0.56,12.14,3.51,2.46,4.15,1.44,467
2019-12-25T00:00:00.000Z,0.28,13.92,3.7,0.68,5.86,2.701,578
2019-12-26T00:00:00.000Z,0.5,2.66,1.15,0.98,1.4,0.414,223
2019-12-28T00:00:00.000Z,2,5.3,2.88,2.52,3.22,0.58,147
2019-12-29T00:00:00.000Z,1.8,6.71,4.82,3.68,5.47,1.139,589
2019-12-30T00:00:00.000Z,1.35,6.68,4.61,3.6,5.14,0.995,580
2019-12-31T00:00:00.000Z,1.06,16.36,2.4,1.92,3.26,1.754,579
2020-01-01T00:00:00.000Z,0.84,16.91,2.48,1.64,4.15,2.814,585
2020-01-02T00:00:00.000Z,5.01,19.6,11.43,8.5,14.92,3.906,572
2020-01-03T00:00:00.000Z,0.88,11.52,4.8,3.04,8.34,2.85,555
2020-01-04T00:00:00.000Z,0.53,3.96,1.55,1.26,2.04,0.692,555
2020-01-05T00:00:00.000Z,0.78,8.36,1.78,1.43,4.84,2.152,566
2020-01-06T00:00:00.000Z,1.33,17.36,7.74,4.62,10.19,4.03,527
2020-01-07T00:00:00.000Z,1.41,18.34,8.74,3.84,11.62,4.41,525
2020-01-08T00:00:00.000Z,2.65,9.56,5.62,3.78,7.23,1.87,500
2020-01-09T00:00:00.000Z,0.52,11.86,3.77,2.99,5.72,2.601,527
2020-01-10T00:00:00.000Z,0.1,12.95,5.21,1.06,7.88,4.05,427
2020-01-11T00:00:00.000Z,0.25,7.16,1.44,0.81,4.76,2.121,527
2020-01-12T00:00:00.000Z,0.22,6.38,2.52,1.38,4.72,1.807,565
2020-01-13T00:00:00.000Z,1.07,9.06,2.4,1.76,4.7,2.237,490
2020-01-14T00:00:00.000Z,0.72,6.28,2.94,1.4,4.68,1.678,444
2020-01-15T00:00:00.000Z,0.32,2.42,1.33,1.1,1.52,0.407,458
2020-01-16T00:00:00.000Z,0.68,8.43,2.49,1.94,3.25,1.734,475
2020-01-17T00:00:00.000Z,1.44,12.88,7.32,4.76,9.4,2.764,467
2020-01-18T00:00:00.000Z,0.51,15.88,1.77,1.15,3.23,4.432,474
2020-01-19T00:00:00.000Z,0.88,4.21,2.42,1.91,2.96,0.668,469
2020-01-20T00:00:00.000Z,1.52,5.58,2.58,2.31,3.02,0.795,363
2020-01-21T00:00:00.000Z,0.45,3.24,1.84,1.15,2.25,0.627,456
2020-01-22T00:00:00.000Z,0.93,2.2,1.7,1.4,1.76,0.301,15
2020-01-23T00:00:00.000Z,1.1,4.16,2.94,1.96,3.47,0.785,81
2020-01-24T00:00:00.000Z,0.6,3.64,1.64,1.17,2.24,0.645,263
2020-01-25T00:00:00.000Z,0.5,9.52,1.08,0.92,1.72,2.427,295
2020-01-26T00:00:00.000Z,5.62,15.2,9.56,8.09,12.36,2.523,279
2020-01-27T00:00:00.000Z,7.85,17.38,12.58,11.09,13.93,1.801,253
2020-01-28T00:00:00.000Z,1.81,12.72,4.28,3.1,7.05,3.081,274
2020-01-29T00:00:00.000Z,0.62,6.45,1.64,1.23,2.17,0.901,310
2020-01-30T00:00:00.000Z,0.51,8.15,2,1.14,2.62,1.35,297
2020-01-31T00:00:00.000Z,0.76,10.26,2.91,2.11,3.56,1.329,288
2020-02-01T00:00:00.000Z,0.34,6.23,2.25,1.76,2.74,1.016,325
2020-02-02T00:00:00.000Z,0.32,3.42,1.84,1.63,2.02,0.422,337
2020-02-03T00:00:00.000Z,0.97,5.72,1.82,1.44,2.36,0.953,311
2020-02-04T00:00:00.000Z,0.26,3.69,1.48,0.57,2.41,0.96,259
2020-02-05T00:00:00.000Z,0.4,2.8,0.96,0.66,1.7,0.611,225
2020-02-06T00:00:00.000Z,1.1,4.78,1.88,1.6,2.24,0.791,149
2020-02-07T00:00:00.000Z,1.14,6.87,2.88,2,3.87,1.334,216
2020-02-08T00:00:00.000Z,3.34,10.42,7.7,4.97,8.94,2.04,198
2020-02-09T00:00:00.000Z,0.62,18.48,4.16,1.95,13.86,5.914,363
2020-02-10T00:00:00.000Z,0.6,3.4,1.8,1.3,2.17,0.568,365
2020-02-11T00:00:00.000Z,0.3,3.85,1.15,0.87,1.62,0.713,369
2020-02-12T00:00:00.000Z,0.65,3.39,1.59,1.2,2.25,0.651,380
2020-02-13T00:00:00.000Z,0.62,5.09,2.04,1.34,3.15,1.053,374
2020-02-14T00:00:00.000Z,1.18,21.56,3.62,3.16,4.26,2.149,385
2020-02-15T00:00:00.000Z,2.57,14.86,8.46,4.13,11.41,3.672,321
2020-02-16T00:00:00.000Z,0.22,3.86,1.34,1,1.55,0.506,376
2020-02-17T00:00:00.000Z,0.34,4.95,2.7,2.2,3.28,0.784,343
2020-02-18T00:00:00.000Z,0.94,4.04,2.38,2,2.74,0.559,312
2020-02-19T00:00:00.000Z,0.25,8.1,1.4,1.06,1.7,1.78,457
2020-02-20T00:00:00.000Z,0.75,7.92,3.09,2.7,4.91,1.523,500
2020-02-21T00:00:00.000Z,0.28,4.38,2.36,1.84,2.78,0.82,430
2020-02-22T00:00:00.000Z,0.52,6.82,2.2,1.56,3.15,1.21,464
2020-02-23T00:00:00.000Z,0.44,4.61,2.52,1.5,3.3,1.016,446
2020-02-24T00:00:00.000Z,0.55,2.92,1.71,1.4,1.92,0.411,522
2020-02-25T00:00:00.000Z,0.28,2.62,1.14,0.72,1.59,0.519,468
2020-02-26T00:00:00.000Z,0.1,1.4,0.8,0.5,0.95,0.282,415
